id,street_number,unit,street_name,city,district,state,state_code,zip_code
1,1367,DUPL,CRESCENT DR,Anchorage,,Alaska,AK,99508
2,601,APT 64,32ND AVE,Anchorage,,Alaska,AK,99503
3,1216,,N N Sun School Cir Cir,MEADOW LAKES,Matanuska-Susitna Borough,Alaska,AK,
4,140,,WHITE ROCK COURT,KETCHIKAN,,Alaska,AK,99901
5,4745,APT 1,PIPER ST,Anchorage,,Alaska,AK,99507
6,214,,SEDGEWICK DR,Owens Cross Roads,,Alabama,AL,35763
7,703,,E. DECATUR ST.,DEMOPOLIS,,Alabama,AL,
8,2502,,W   EDGEMONT AVE,MONTGOMERY,,Alabama,AL,36108
9,6518,,LUXEMBOURG CIR,MONTGOMERY,,Alabama,AL,36117
10,577,,MORGAN RD.,GALLION,,Alabama,AL,
11,721,,Sycamore,Harrison,,Arkansas,AR,72601
12,1774,,S   HARDING PL,FAYETTEVILLE,,Arkansas,AR,72701
13,24,,BADALONA CIR,HOT SPRINGS VILLAGE,,Arkansas,AR,71909
14,9690,,PARK AVE,HOT SPRINGS,,Arkansas,AR,71901
15,820,,E Prospect,Harrison,,Arkansas,AR,72601
16,4372,,GOLDENROD Road,Valle,Coconino County,Arizona,AZ,86046
17,913,,SAND LN,Rio Rico,RIO RICO ESTATES UNIT #11,Arizona,AZ,85648
18,5861,,South Southland Boulevard,Tucson,Pima County,Arizona,AZ,85706
19,7411,,East Lakeside Drive,Tucson,Pima County,Arizona,AZ,85730
20,1041,,East Linda Avenue,Apache Junction,Pinal County,Arizona,AZ,85119
21,215,1,CASTILLO ST,SANTA BARBARA,,California,CA,93101
22,2623,,TERRACE DR,SANTA MARIA,,California,CA,93455
23,2006,,KATHERINE PL,ROSEVILLE,,California,CA,95678
24,7444,,VAL VERDE CT,LOOMIS,,California,CA,95650
25,1013,,BILLINGTON LN,ROSEVILLE,,California,CA,95747
26,201,0,PTARMIGAN,Leadville,,Colorado,CO,
27,1933,,21ST,PUEBLO,,Colorado,CO,81003
28,19951,,E COLUMBIA AVE,AURORA,,Colorado,CO,80013-4331
29,153,,INGELS DR,WILSON LAKE ESTATES,TELLER COUNTY,Colorado,CO,80816
30,921,,COTTONWOOD LAKE DR,HIGHLAND LAKES,TELLER COUNTY,Colorado,CO,80814
31,224,,GLENWOOD Ave,STRATFORD,,Connecticut,CT,
32,337,0000,FAIRVIEW AVE,HAMDEN,,Connecticut,CT,
33,302,,BARNUM Terrace EXT,STRATFORD,,Connecticut,CT,
34,8,,IVY COVE,AVON,HARTFORD,Connecticut,CT,
35,268,,HERBERT ST,MILFORD,,Connecticut,CT,
36,1909,,NEW WHARF RD,Milford,,Delaware,DE,19963.0
37,325,,N GOVERNORS AVE,Dover,,Delaware,DE,19904.0
38,18,,MORIARTY ST,Dover,,Delaware,DE,19901.0
39,23,,HIDDEN VALLEY DR,NEWARK,,Delaware,DE,19711-
40,2904,,NEWPORT GAP PIKE,WILMINGTON,,Delaware,DE,19808.0
41,2016,,Darlington Oak Dr,Seffner,,Florida,FL,33584
42,4415,,Pine St,Valrico,,Florida,FL,33596
43,8813,,SW SAND CRANE CIR CIR SW,ARCADIA,,Florida,FL,34269
44,12144,1501,SW EGRET CIR CIR SW,LAKE SUZY,,Florida,FL,34269
45,3550,710,GALT OCEAN DR,FORT LAUDERDALE,,Florida,FL,33308
46,5251,,CAITLIN LN,DOUGLASVILLE,,Georgia,GA,30135
47,0,,BARTLEY RD,WEST POINT,,Georgia,GA,31833
48,3112,,FREEDOM CT,DOUGLASVILLE,,Georgia,GA,30135
49,4846,,LAYTON DR,LITHIA SPRINGS,,Georgia,GA,30122
50,0,,MASON ST,LAGRANGE,,Georgia,GA,30241
51,2764,,KAUHALE ST,KIHEI,,Hawaii,HI,96753
52,298,,THIRD ST,LANAI CITY,,Hawaii,HI,96763
53,35,,MANGO ST,Wahiawa,,Hawaii,HI,96786
54,182,,WAIPAHE PL,KIHEI,,Hawaii,HI,96753
55,91-1146,,OLOWA ST,Ewa Beach,,Hawaii,HI,96706
56,218,218 S Ash St,S Ash St,Marcus,Cherokee,Iowa,IA,51035-7702
57,305,APT 201 (UPPER),E MAIN,OTTUMWA,,Iowa,IA,52501-0000
58,704,704 N 1st St,N 1st St,Cherokee,Cherokee,Iowa,IA,51012-1207
59,902,902 N 2nd St,N 2nd St,Cherokee,Cherokee,Iowa,IA,51012-1288
60,1121,1121 W Cedar St,W Cedar St,Cherokee,Cherokee,Iowa,IA,51012-1538
61,3804,,Wayan Loop S,Wayan,,Idaho,ID,
